date,booked,taken,bh,half?,metadata
2024-01-01,True,True,true,,NYD,
2024-01-22,True,True,false,,Skiing,
2024-01-23,True,True,false,,Skiing,
2024-01-24,True,True,false,,Skiing,
2024-01-25,True,True,false,,Skiing,
2024-01-26,True,True,false,,Skiing,
2024-03-29,false,false,true,,Good Friday,
2024-04-01,false,false,true,,Easter Monday,
2024-04-05,True,True,,False,Peru,
2024-04-08,True,True,,false,Peru,
2024-04-09,True,True,,,Peru,
2024-04-10,True,True,,,Peru,
2024-04-11,True,True,,,Peru,
2024-04-12,True,True,,,Peru,
2024-04-15,True,True,,,Peru,
2024-04-16,True,True,,,Peru,
2024-04-17,True,True,,,Peru,
2024-04-18,True,True,,,Peru,
2024-04-19,True,True,,,Peru,
2024-04-22,True,True,,,Peru,
2024-04-23,True,True,,,Peru,
2024-04-24,True,True,,,Peru,
2024-04-25,True,True,,,Peru,
2024-04-26,True,True,,True,Peru,
2024-05-06,false,false,true,false,May BH,
2024-05-27,false,false,true,true,May BH,
2024-06-14,True,True,,False,Birthday,
2024-08-02,True,True,,False,Wedding,
2024-08-26,false,false,true,false,August BH,
2024-09-13,True,false,,true,Albania,
2024-09-16,True,false,,false,Albania,
2024-09-17,True,false,,false,Albania,
2024-09-18,True,false,,false,Albania,
2024-09-19,True,false,,false,Albania,
2024-09-20,True,false,,false,Albania,
2024-12-25,True,false,true,false,Christmas Day,
2024-12-26,True,false,true,false,Boxing Day,
2024-12-27,True,false,false,false,SE Asia,
2024-12-30,True,false,false,false,SE Asia,
2024-12-31,True,false,false,false,SE Asia,
