date,is_bh,balance_change,metadata
2024-01-01,BH,0,NYD,
2024-01-22,,-1,Skiing,
2024-01-23,,-1,Skiing,
2024-01-24,,-1,Skiing,
2024-01-25,,-1,Skiing,
2024-01-26,,-1,Skiing,
2024-03-29,BH,1,Good Friday,
2024-04-01,BH,1,Easter Monday,
2024-04-05,,-1,Peru,
2024-04-08,,-1,Peru,
2024-04-09,,-1,Peru,
2024-04-10,,-1,Peru,
2024-04-11,,-1,Peru,
2024-04-12,,-1,Peru,
2024-04-15,,-1,Peru,
2024-04-16,,-1,Peru,
2024-04-17,,-1,Peru,
2024-04-18,,-1,Peru,
2024-04-19,,-1,Peru,
2024-04-22,,-1,Peru,
2024-04-23,,-1,Peru,
2024-04-24,,-1,Peru,
2024-04-25,,-1,Peru,
2024-04-26,,-0.5,Peru,
2024-05-06,BH,1,Early May BH,
2024-05-17,,-1,Harry Wedding,
2024-05-27,BH,0.5,Late May BH,
2024-06-14,,0,Birthday,
2024-08-02,,-1,Lucy Wedding,
2024-08-26,BH,1,August BH,
2024-09-13,,-0.5,Albania,
2024-09-16,,-1,Albania,
2024-09-17,,-1,Albania,
2024-09-18,,-1,Albania,
2024-09-19,,-1,Albania,
2024-09-20,,-1,Albania,
2024-12-25,BH,0,Christmas Day,
2024-12-26,BH,0,Boxing Day,
2024-12-27,,-1,SE Asia,
2024-12-30,,-1,SE Asia,
2024-12-31,,-1,SE Asia,
