date,booked,taken,bh,half?,metadata
2025-01-01,True,false,true,,NYD,
2025-01-02,True,false,false,,SE Asia,
2025-01-03,True,false,false,,SE Asia,
2025-01-06,True,false,false,,SE Asia,
2025-01-07,True,false,false,,SE Asia,
2025-01-08,True,false,false,,SE Asia,
2025-01-09,True,false,false,,SE Asia,
2025-01-10,True,false,false,,SE Asia,
2025-01-13,True,false,false,,SE Asia,
2025-01-14,True,false,false,,SE Asia,
2025-01-15,True,false,false,,SE Asia,
2025-01-16,True,false,false,,SE Asia,
2025-01-17,True,false,false,,SE Asia,
2025-01-18,True,false,false,,SE Asia,
2025-02-03,True,false,false,,Skiing,
2025-02-04,True,false,false,,Skiing,
2025-02-05,True,false,false,,Skiing,
2025-02-06,True,false,false,,Skiing,
2025-02-07,True,false,false,,Skiing,
2025-04-18,False,false,true,,Good Friday,
2025-04-21,False,false,true,,Easter Monday,
2025-05-05,False,false,true,,Early May BH,
2025-05-26,False,false,true,,Late May BH,
2025-08-25,False,false,true,,August BH,
2025-12-25,True,false,true,,Christmas Day,
2025-12-26,True,false,true,,Boxing Day,
